tag_id,name,category,count
497,idolmaster_cinderella_girls,0,0
498,pink_nails,0,0
499,black_pants,0,0
500,fingering,0,0
501,straight_hair,0,0
502,smartphone,0,0
503,plaid_clothes,0,0
504,large_areolae,0,0
505,faceless,0,0
506,mouth_hold,0,0
507,bouncing_breasts,0,0
508,cum_in_mouth,0,0
509,mole_under_mouth,0,0
510,wet_clothes,0,0
511,pink_panties,0,0
512,animal_print,0,0
513,single_thighhigh,0,0
514,armor,0,0
515,fake_tail,0,0
516,bottle,0,0
517,bob_cut,0,0
518,veiny_penis,0,0
519,denim,0,0
520,couch,0,0
521,blue_nails,0,0
522,covering_privates,0,0
523,dress_shirt,0,0
524,blue_halo,0,0
525,night,0,0
526,profile,0,0
527,cape,0,0
528,thigh_boots,0,0
529,neckerchief,0,0
530,cum_overflow,0,0
531,foot_focus,0,0
532,neck_bell,0,0
533,red_nails,0,0
534,goddess_of_victory:_nikke,0,0
535,skin_fang,0,0
536,no_pants,0,0
537,interracial,0,0
538,rape,0,0
539,standing_on_one_leg,0,0
540,china_dress,0,0
541,wavy_hair,0,0
542,kiss,0,0
543,torn_pantyhose,0,0
544,idolmaster_shiny_colors,0,0
545,girls'_frontline,0,0
546,hand_on_own_chest,0,0
547,fangs,0,0
548,white_bra,0,0
549,cleft_of_venus,0,0
550,siblings,0,0
551,sports_bra,0,0
552,sunlight,0,0
553,blue_bikini,0,0
554,white_socks,0,0
555,faceless_male,0,0
556,bridal_gauntlets,0,0
557,sash,0,0
558,legs_up,0,0
559,white_jacket,0,0
560,wavy_mouth,0,0
561,black_socks,0,0
562,cross,0,0
563,holding_phone,0,0
564,frown,0,0
565,gun,0,0
566,blue_ribbon,0,0
567,white_pupils,0,0
568,toenail_polish,0,0
569,scarf,0,0
570,slit_pupils,0,0
571,single_hair_bun,0,0
572,brown_pantyhose,0,0
573,side-tie_panties,0,0
574,table,0,0
575,sandals,0,0
576,holding_hands,0,0
577,female_masturbation,0,0
578,pasties,0,0
579,hanging_breasts,0,0
580,spread_pussy,0,0
581,short_dress,0,0
